Latitude,Longitude,Depth_km,Magnitude,Cluster
12.3753,-87.9581,47.201,4.3,3
58.3774,-32.1618,10.0,4.5,2
-14.9984,-176.4803,10.0,4.5,3
-18.8939,-177.6713,598.301,4.1,0
33.977333333333,-118.91216666667,14.92,2.77,1
11.7846,143.3634,12.0,5.7,2
-24.3118,-67.0526,170.546,4.3,3
12.9202,144.9144,46.114,4.2,2
-6.5238,35.807,10.0,4.2,3
-2.862,101.1384,62.216,4.5,3
13.0227,144.6297,45.95,5.0,2
43.583,148.0311,30.203,4.3,2
19.087333333333,-64.2605,24.47,3.31,1
17.961333333333,-66.8095,12.37,2.53,1
-32.4238,-71.4147,41.215,4.2,3
-18.6469,-175.7455,278.959,4.4,0
51.253,-174.8606,10.0,3.7,1
51.2543,-174.8171,10.0,4.0,1
51.338,-174.9467,9.08,3.3,1
-24.2137,179.9664,520.375,4.4,0
58.579,-151.075,12.5,2.6,1
51.221,-174.898,10.0,4.8,1
61.208,-150.202,43.1,2.6,1
60.4811,-139.7142,5.0,2.7,1
14.2339,-93.3683,30.717,4.1,3
22.8982,121.2494,8.0,6.0,2
52.2173,-171.4627,8.407,3.1,1
51.2421,-174.8727,10.0,2.6,1
56.205,-155.791,11.6,2.6,1
59.028,-152.262,50.6,2.7,1
27.0016,54.9871,10.0,4.3,2
63.596,-149.903,124.2,2.5,1
-22.6022,-69.0076,110.11,4.3,3
8.3133,127.463,10.0,4.7,3
-4.5297,102.6053,59.001,4.8,3
12.6319,92.7492,35.0,4.8,3
41.0788,142.8297,42.891,4.1,2
41.2502,-116.7046,6.0,3.97,1
57.451,-153.425,1.0,2.6,1
51.4008,-174.942,35.0,3.7,1
-5.8971,149.5868,134.441,4.1,3
55.5825,161.7852,97.631,4.2,2
19.3828,39.3851,10.0,4.3,2
-23.7281,179.9978,548.993,4.1,0
-18.0233,-177.7486,626.135,4.3,0
19.2908,39.2095,10.0,4.5,2
59.979,-141.643,13.0,2.5,1
62.302,-151.732,97.1,3.2,1
51.5477,-174.0973,35.0,2.8,1
-32.3643,-71.4542,51.045,4.5,3
16.5468,-59.651,13.05,4.5,3
59.408,-152.595,71.4,2.5,1
54.1726,-160.1895,30.868,2.7,1
41.2672,142.5146,53.512,4.3,2
51.6531,-178.0581,81.103,2.6,1
19.5956,-66.0323,40.0,3.53,1
19.6115,-66.089333333333,17.98,3.35,1
58.288,-136.802,9.9,2.9,1
54.5689,-160.2192,18.391,2.6,1
18.1139,145.4741,297.607,4.0,0
28.2952,51.6921,10.0,4.1,2
0.8,96.8472,10.0,4.1,3
40.6065,-109.5293,0.0,3.1,1
31.717,-104.511,6.0999,2.7,1
-14.5564,167.1377,157.0,5.6,3
-24.96,179.8016,520.296,4.5,0
60.5795,-139.6813,5.0,2.6,1
51.1048,159.4435,10.0,4.6,2
-12.2244,166.753,199.013,4.4,3
49.6991,157.8171,10.0,4.7,2
51.5984,-176.1154,62.083,3.1,1
66.317,-141.842,9.8,2.8,1
-24.2984,-67.1417,143.356,4.2,3
-56.8866,-140.9671,10.0,4.2,3
17.966,-67.053666666667,13.39,2.66,1
18.188833333333,-67.146333333333,23.28,2.68,1
53.0792,159.5291,78.401,4.4,2
51.0719,-179.4424,13.145,2.9,1
-19.5181,-173.0066,10.0,4.5,3
60.638,-151.938,84.9,2.7,1
-18.1414,-175.1362,182.375,4.5,3
43.3943,147.7436,45.258,4.2,2
60.5495,-139.9603,5.0,2.6,1
-58.3364,-23.3069,10.0,5.0,3
56.3937,-148.6651,10.0,2.8,1
60.5423,-139.8621,10.671,2.6,1
-4.1381,128.7192,10.0,4.5,3
56.336,-157.315,58.1,2.6,1
19.177166666667,-155.48433333333,31.42,3.37,1
-5.6145,147.3239,208.225,5.2,3
51.0974,-179.4144,37.326,3.8,1
33.1242,137.7749,334.154,5.2,0
60.3748,-140.7859,5.0,3.3,1
14.3593,-93.3468,10.0,4.3,3
51.4895,-179.1795,75.796,2.8,1
53.3822,-165.0161,39.246,3.6,1
44.8326,100.3086,10.0,4.1,2
34.170666666667,-116.946,8.1,2.72,1
39.893,-120.5675,-1.7,2.68,1
37.75,-121.94583333333,9.18,2.6,1
23.7369,121.658,36.575,4.2,2
59.733,-152.781,87.8,2.6,1
-17.7597,-178.0375,476.548,4.4,0
-7.1085,129.2665,137.45,4.2,3
2.3154,-101.5098,10.0,4.3,3
-18.4639,-178.0883,459.62,4.3,0
53.9263,-162.9269,8.27,2.7,1
40.7155,51.8267,49.334,5.1,2
-41.3993,-84.7589,10.0,4.8,3
42.0202,-126.1152,10.0,3.7,1
51.1476,178.1887,10.0,3.2,2
-8.0859,119.191,9.922,4.1,3
-27.5263,-176.2467,10.0,4.7,3
-4.6583,125.1727,521.228,4.3,0
59.379,-154.313,8.6,2.6,1
19.048,-65.924166666667,25.94,3.0,1
60.5834,-139.9166,5.658,3.2,1
-57.8606,-25.0114,31.894,4.4,3
60.357,-152.938,136.4,2.5,1
56.108,-156.652,42.6,3.1,1
51.7957,-172.8988,10.0,3.0,1
28.6714,51.0691,10.0,4.0,2
-56.4199,-26.4736,75.469,4.5,3
59.641,-150.256,23.2,2.5,1
36.649833333333,-121.29683333333,5.36,3.28,1
37.7797,141.9747,58.699,4.3,2
62.413,-148.001,42.7,2.7,1
60.898,-150.611,53.7,3.2,1
59.8337,-30.0607,10.0,4.5,2
61.282,-148.527,22.4,2.6,1
-21.0754,-68.3246,129.109,4.8,3
59.9692,-29.7573,10.0,4.4,2
-17.8056,167.9699,30.735,4.4,3
-15.1851,-174.8226,274.419,4.2,0
36.7152,27.0117,146.758,4.2,2
37.257499694824,-118.36183166504,14.319999694824,2.61,1
42.2758,143.1513,65.468,4.2,2
18.6661,-66.3375,70.0,3.55,1
43.5849,-127.4161,10.0,3.9,1
-30.785,-178.5347,10.0,4.6,3
51.9094,-169.2983,10.0,3.6,1
0.9916,120.5479,596.654,4.6,0
-6.2539,149.149,55.607,4.6,3
10.7865,-86.5548,10.0,4.3,3
-6.1773,131.1885,65.107,4.6,3
43.406,147.8202,52.276,4.2,2
-21.0645,-177.9776,445.052,4.8,0
21.2891,101.6636,10.0,4.3,2
9.2882,123.1783,10.0,4.2,3
60.5229,-139.8536,5.0,4.5,1
60.996,-148.116,4.6,2.6,1
60.587,-139.993,4.6,2.5,1
60.576,-140.0741,7.181,2.6,1
-6.2303,151.7778,10.0,4.9,3
50.2401,156.1622,84.877,4.4,2
28.746,-98.845,6.94,2.5,1
